date_day,day_of_week,day_of_week_num,month,month_name,quarter,year,week_of_year,is_weekend,is_holiday_vn
2024-01-01,Monday,1,1,January,1,2024,1,False,True
2024-01-02,Tuesday,2,1,January,1,2024,1,False,False
2024-01-03,Wednesday,3,1,January,1,2024,1,False,False
2024-01-04,Thursday,4,1,January,1,2024,1,False,False
2024-01-05,Friday,5,1,January,1,2024,1,False,False
2024-01-06,Saturday,6,1,January,1,2024,1,True,False
2024-01-07,Sunday,7,1,January,1,2024,1,True,False
2024-01-08,Monday,1,1,January,1,2024,2,False,False
2024-01-09,Tuesday,2,1,January,1,2024,2,False,False
2024-01-10,Wednesday,3,1,January,1,2024,2,False,False
2024-01-11,Thursday,4,1,January,1,2024,2,False,False
2024-01-12,Friday,5,1,January,1,2024,2,False,False
2024-01-13,Saturday,6,1,January,1,2024,2,True,False
2024-01-14,Sunday,7,1,January,1,2024,2,True,False
2024-01-15,Monday,1,1,January,1,2024,3,False,False
2024-01-16,Tuesday,2,1,January,1,2024,3,False,False
2024-01-17,Wednesday,3,1,January,1,2024,3,False,False
2024-01-18,Thursday,4,1,January,1,2024,3,False,False
2024-01-19,Friday,5,1,January,1,2024,3,False,False
2024-01-20,Saturday,6,1,January,1,2024,3,True,False
2024-01-21,Sunday,7,1,January,1,2024,3,True,False
2024-01-22,Monday,1,1,January,1,2024,4,False,False
2024-01-23,Tuesday,2,1,January,1,2024,4,False,False
2024-01-24,Wednesday,3,1,January,1,2024,4,False,False
2024-01-25,Thursday,4,1,January,1,2024,4,False,False
2024-01-26,Friday,5,1,January,1,2024,4,False,False
2024-01-27,Saturday,6,1,January,1,2024,4,True,False
2024-01-28,Sunday,7,1,January,1,2024,4,True,False
2024-01-29,Monday,1,1,January,1,2024,5,False,False
2024-01-30,Tuesday,2,1,January,1,2024,5,False,False
2024-01-31,Wednesday,3,1,January,1,2024,5,False,False
2024-02-01,Thursday,4,2,February,1,2024,5,False,False
2024-02-02,Friday,5,2,February,1,2024,5,False,False
2024-02-03,Saturday,6,2,February,1,2024,5,True,False
2024-02-04,Sunday,7,2,February,1,2024,5,True,False
2024-02-05,Monday,1,2,February,1,2024,6,False,False
2024-02-06,Tuesday,2,2,February,1,2024,6,False,False
2024-02-07,Wednesday,3,2,February,1,2024,6,False,False
2024-02-08,Thursday,4,2,February,1,2024,6,False,False
2024-02-09,Friday,5,2,February,1,2024,6,False,False
2024-02-10,Saturday,6,2,February,1,2024,6,True,True
2024-02-11,Sunday,7,2,February,1,2024,6,True,False
2024-02-12,Monday,1,2,February,1,2024,7,False,False
2024-02-13,Tuesday,2,2,February,1,2024,7,False,False
2024-02-14,Wednesday,3,2,February,1,2024,7,False,False
2024-02-15,Thursday,4,2,February,1,2024,7,False,False
2024-02-16,Friday,5,2,February,1,2024,7,False,False
2024-02-17,Saturday,6,2,February,1,2024,7,True,False
2024-02-18,Sunday,7,2,February,1,2024,7,True,False
2024-02-19,Monday,1,2,February,1,2024,8,False,False
2024-02-20,Tuesday,2,2,February,1,2024,8,False,False
2024-02-21,Wednesday,3,2,February,1,2024,8,False,False
2024-02-22,Thursday,4,2,February,1,2024,8,False,False
2024-02-23,Friday,5,2,February,1,2024,8,False,False
2024-02-24,Saturday,6,2,February,1,2024,8,True,False
2024-02-25,Sunday,7,2,February,1,2024,8,True,False
2024-02-26,Monday,1,2,February,1,2024,9,False,False
2024-02-27,Tuesday,2,2,February,1,2024,9,False,False
2024-02-28,Wednesday,3,2,February,1,2024,9,False,False
2024-02-29,Thursday,4,2,February,1,2024,9,False,False
2024-03-01,Friday,5,3,March,1,2024,9,False,False
2024-03-02,Saturday,6,3,March,1,2024,9,True,False
2024-03-03,Sunday,7,3,March,1,2024,9,True,False
2024-03-04,Monday,1,3,March,1,2024,10,False,False
2024-03-05,Tuesday,2,3,March,1,2024,10,False,False
2024-03-06,Wednesday,3,3,March,1,2024,10,False,False
2024-03-07,Thursday,4,3,March,1,2024,10,False,False
2024-03-08,Friday,5,3,March,1,2024,10,False,False
2024-03-09,Saturday,6,3,March,1,2024,10,True,False
2024-03-10,Sunday,7,3,March,1,2024,10,True,False
2024-03-11,Monday,1,3,March,1,2024,11,False,False
2024-03-12,Tuesday,2,3,March,1,2024,11,False,False
2024-03-13,Wednesday,3,3,March,1,2024,11,False,False
2024-03-14,Thursday,4,3,March,1,2024,11,False,False
2024-03-15,Friday,5,3,March,1,2024,11,False,False
2024-03-16,Saturday,6,3,March,1,2024,11,True,False
2024-03-17,Sunday,7,3,March,1,2024,11,True,False
2024-03-18,Monday,1,3,March,1,2024,12,False,False
2024-03-19,Tuesday,2,3,March,1,2024,12,False,False
2024-03-20,Wednesday,3,3,March,1,2024,12,False,False
2024-03-21,Thursday,4,3,March,1,2024,12,False,False
2024-03-22,Friday,5,3,March,1,2024,12,False,False
2024-03-23,Saturday,6,3,March,1,2024,12,True,False
2024-03-24,Sunday,7,3,March,1,2024,12,True,False
2024-03-25,Monday,1,3,March,1,2024,13,False,False
2024-03-26,Tuesday,2,3,March,1,2024,13,False,False
2024-03-27,Wednesday,3,3,March,1,2024,13,False,False
2024-03-28,Thursday,4,3,March,1,2024,13,False,False
2024-03-29,Friday,5,3,March,1,2024,13,False,False
2024-03-30,Saturday,6,3,March,1,2024,13,True,False
2024-03-31,Sunday,7,3,March,1,2024,13,True,False
2024-04-01,Monday,1,4,April,2,2024,14,False,False
2024-04-02,Tuesday,2,4,April,2,2024,14,False,False
2024-04-03,Wednesday,3,4,April,2,2024,14,False,False
2024-04-04,Thursday,4,4,April,2,2024,14,False,False
2024-04-05,Friday,5,4,April,2,2024,14,False,False
2024-04-06,Saturday,6,4,April,2,2024,14,True,False
2024-04-07,Sunday,7,4,April,2,2024,14,True,False
2024-04-08,Monday,1,4,April,2,2024,15,False,False
2024-04-09,Tuesday,2,4,April,2,2024,15,False,False
2024-04-10,Wednesday,3,4,April,2,2024,15,False,False
2024-04-11,Thursday,4,4,April,2,2024,15,False,False
2024-04-12,Friday,5,4,April,2,2024,15,False,False
2024-04-13,Saturday,6,4,April,2,2024,15,True,False
2024-04-14,Sunday,7,4,April,2,2024,15,True,False
2024-04-15,Monday,1,4,April,2,2024,16,False,False
2024-04-16,Tuesday,2,4,April,2,2024,16,False,False
2024-04-17,Wednesday,3,4,April,2,2024,16,False,False
2024-04-18,Thursday,4,4,April,2,2024,16,False,False
2024-04-19,Friday,5,4,April,2,2024,16,False,False
2024-04-20,Saturday,6,4,April,2,2024,16,True,False
2024-04-21,Sunday,7,4,April,2,2024,16,True,False
2024-04-22,Monday,1,4,April,2,2024,17,False,False
2024-04-23,Tuesday,2,4,April,2,2024,17,False,False
2024-04-24,Wednesday,3,4,April,2,2024,17,False,False
2024-04-25,Thursday,4,4,April,2,2024,17,False,False
2024-04-26,Friday,5,4,April,2,2024,17,False,False
2024-04-27,Saturday,6,4,April,2,2024,17,True,False
2024-04-28,Sunday,7,4,April,2,2024,17,True,False
2024-04-29,Monday,1,4,April,2,2024,18,False,False
2024-04-30,Tuesday,2,4,April,2,2024,18,False,True
2024-05-01,Wednesday,3,5,May,2,2024,18,False,True
2024-05-02,Thursday,4,5,May,2,2024,18,False,False
2024-05-03,Friday,5,5,May,2,2024,18,False,False
2024-05-04,Saturday,6,5,May,2,2024,18,True,False
2024-05-05,Sunday,7,5,May,2,2024,18,True,False
2024-05-06,Monday,1,5,May,2,2024,19,False,False
2024-05-07,Tuesday,2,5,May,2,2024,19,False,False
2024-05-08,Wednesday,3,5,May,2,2024,19,False,False
2024-05-09,Thursday,4,5,May,2,2024,19,False,False
2024-05-10,Friday,5,5,May,2,2024,19,False,False
2024-05-11,Saturday,6,5,May,2,2024,19,True,False
2024-05-12,Sunday,7,5,May,2,2024,19,True,False
2024-05-13,Monday,1,5,May,2,2024,20,False,False
2024-05-14,Tuesday,2,5,May,2,2024,20,False,False
2024-05-15,Wednesday,3,5,May,2,2024,20,False,False
2024-05-16,Thursday,4,5,May,2,2024,20,False,False
2024-05-17,Friday,5,5,May,2,2024,20,False,False
2024-05-18,Saturday,6,5,May,2,2024,20,True,False
2024-05-19,Sunday,7,5,May,2,2024,20,True,False
2024-05-20,Monday,1,5,May,2,2024,21,False,False
2024-05-21,Tuesday,2,5,May,2,2024,21,False,False
2024-05-22,Wednesday,3,5,May,2,2024,21,False,False
2024-05-23,Thursday,4,5,May,2,2024,21,False,False
2024-05-24,Friday,5,5,May,2,2024,21,False,False
2024-05-25,Saturday,6,5,May,2,2024,21,True,False
2024-05-26,Sunday,7,5,May,2,2024,21,True,False
2024-05-27,Monday,1,5,May,2,2024,22,False,False
2024-05-28,Tuesday,2,5,May,2,2024,22,False,False
2024-05-29,Wednesday,3,5,May,2,2024,22,False,False
2024-05-30,Thursday,4,5,May,2,2024,22,False,False
2024-05-31,Friday,5,5,May,2,2024,22,False,False
2024-06-01,Saturday,6,6,June,2,2024,22,True,False
2024-06-02,Sunday,7,6,June,2,2024,22,True,False
2024-06-03,Monday,1,6,June,2,2024,23,False,False
2024-06-04,Tuesday,2,6,June,2,2024,23,False,False
2024-06-05,Wednesday,3,6,June,2,2024,23,False,False
2024-06-06,Thursday,4,6,June,2,2024,23,False,False
2024-06-07,Friday,5,6,June,2,2024,23,False,False
2024-06-08,Saturday,6,6,June,2,2024,23,True,False
2024-06-09,Sunday,7,6,June,2,2024,23,True,False
2024-06-10,Monday,1,6,June,2,2024,24,False,False
2024-06-11,Tuesday,2,6,June,2,2024,24,False,False
2024-06-12,Wednesday,3,6,June,2,2024,24,False,False
2024-06-13,Thursday,4,6,June,2,2024,24,False,False
2024-06-14,Friday,5,6,June,2,2024,24,False,False
2024-06-15,Saturday,6,6,June,2,2024,24,True,False
2024-06-16,Sunday,7,6,June,2,2024,24,True,False
2024-06-17,Monday,1,6,June,2,2024,25,False,False
2024-06-18,Tuesday,2,6,June,2,2024,25,False,False
