performance_id,campaign_id,date,creator_id,platform,spend_vnd,impressions,clicks,video_views,reach,ctr,cpm_vnd
PERF_00000001,CMP_0001,2024-05-14,CRE_0012,Instagram,9726981.0,88830,1823,9510,51259,0.020522,109501.08
PERF_00000002,CMP_0001,2024-05-15,CRE_0012,Instagram,4620720.0,41243,997,19164,26680,0.024174,112036.47
PERF_00000003,CMP_0001,2024-05-16,CRE_0012,Instagram,11621338.0,101863,3081,42863,59185,0.030247,114087.92
PERF_00000004,CMP_0001,2024-05-17,CRE_0012,Instagram,9093267.0,231570,3413,43804,167995,0.014739,39267.9
PERF_00000005,CMP_0001,2024-05-18,CRE_0012,Instagram,2337209.0,30349,1032,8845,22162,0.034004,77011.07
PERF_00000006,CMP_0001,2024-05-19,CRE_0012,Instagram,12874303.0,152485,7395,71459,113807,0.048497,84429.96
PERF_00000007,CMP_0001,2024-05-20,CRE_0012,Instagram,13683831.0,280190,1434,60497,164353,0.005118,48837.69
PERF_00000008,CMP_0001,2024-05-21,CRE_0012,Instagram,13978433.0,163790,1875,55317,81911,0.011448,85343.63
PERF_00000009,CMP_0001,2024-05-22,CRE_0012,Instagram,1627918.0,13879,154,6989,9301,0.011096,117293.61
PERF_00000010,CMP_0001,2024-05-23,CRE_0012,Instagram,7339492.0,128244,5027,28263,84294,0.039199,57230.69
PERF_00000011,CMP_0001,2024-05-24,CRE_0012,Instagram,11721835.0,125284,2627,65063,78526,0.020968,93562.11
PERF_00000012,CMP_0001,2024-05-25,CRE_0012,Instagram,1633895.0,19339,282,3540,14572,0.014582,84487.05
PERF_00000013,CMP_0001,2024-05-26,CRE_0012,Instagram,4527183.0,105628,2606,33887,82182,0.024671,42859.69
PERF_00000014,CMP_0001,2024-05-27,CRE_0012,Instagram,4132816.0,101240,4605,43132,57828,0.045486,40821.97
PERF_00000015,CMP_0001,2024-05-28,CRE_0012,Instagram,13059007.0,122065,4843,33323,81738,0.039676,106984.04
PERF_00000016,CMP_0001,2024-05-29,CRE_0012,Instagram,9446126.0,86767,4028,16962,56370,0.046423,108867.73
PERF_00000017,CMP_0001,2024-05-30,CRE_0012,Instagram,14031290.0,117328,1620,32909,67810,0.013807,119590.29
PERF_00000018,CMP_0001,2024-05-31,CRE_0012,Instagram,8999732.0,151102,6950,84300,105940,0.045995,59560.64
PERF_00000019,CMP_0001,2024-06-01,CRE_0012,Instagram,688420.0,12614,430,5308,8316,0.034089,54575.87
PERF_00000020,CMP_0001,2024-06-02,CRE_0012,Instagram,14938199.0,159965,2773,20573,116594,0.017335,93384.17
PERF_00000021,CMP_0001,2024-06-03,CRE_0012,Instagram,941184.0,9946,260,4015,6781,0.026141,94629.4
PERF_00000022,CMP_0001,2024-06-04,CRE_0012,Instagram,3019679.0,30972,1057,11546,16773,0.034128,97497.06
PERF_00000023,CMP_0001,2024-06-05,CRE_0012,Instagram,5858241.0,68788,2551,31148,39261,0.037085,85163.71
PERF_00000024,CMP_0001,2024-06-06,CRE_0012,Instagram,12838675.0,342783,14579,54747,232184,0.042531,37454.23
PERF_00000025,CMP_0001,2024-06-07,CRE_0012,Instagram,10803568.0,185369,8083,44254,155900,0.043605,58281.42
PERF_00000026,CMP_0001,2024-06-08,CRE_0012,Instagram,9999026.0,103755,2071,45236,89215,0.01996,96371.51
PERF_00000027,CMP_0001,2024-06-09,CRE_0012,Instagram,13517179.0,298859,14758,137794,193213,0.049381,45229.29
PERF_00000028,CMP_0001,2024-06-10,CRE_0012,Instagram,705483.0,7855,186,3407,4120,0.023679,89813.24
PERF_00000029,CMP_0001,2024-06-11,CRE_0012,Instagram,3297629.0,33472,389,7809,19046,0.011622,98519.03
PERF_00000030,CMP_0001,2024-06-12,CRE_0012,Instagram,1145372.0,13511,486,4115,10188,0.035971,84773.3
PERF_00000031,CMP_0001,2024-06-13,CRE_0012,Instagram,12710798.0,110819,2105,42142,60627,0.018995,114698.72
