order_id,customer_id,order_amount_vnd,timestamp,date,campaign_id,creator_id,platform,product_category,payment_method,order_status
ORD_0000001,CST_000285,166000.0,2024-05-13 06:58:52,2024-05-13,CMP_0025,CRE_0019,Instagram,Technology,VNPay,Completed
ORD_0000002,CST_000164,50000.0,2024-05-27 12:52:36,2024-05-27,CMP_0001,CRE_0004,Instagram,Beauty & Skincare,Credit Card,Returned
ORD_0000003,CST_000925,251000.0,2024-03-03 22:18:36,2024-03-03,CMP_0023,CRE_0001,Instagram,Finance,ZaloPay,Cancelled
ORD_0000004,CST_001609,239000.0,2024-04-10 10:14:38,2024-04-10,CMP_0008,CRE_0019,TikTok,Fashion,COD,Completed
ORD_0000005,CST_000070,574000.0,2024-09-22 22:15:36,2024-09-22,CMP_0013,CRE_0003,Lazada Live,Beauty & Skincare,Credit Card,Completed
ORD_0000006,CST_000988,1030000.0,2024-04-11 08:13:30,2024-04-11,CMP_0008,CRE_0007,TikTok,Fashion,Bank Transfer,Completed
ORD_0000007,CST_000544,513000.0,2024-02-13 09:02:52,2024-02-13,CMP_0018,CRE_0003,Instagram,Health & Fitness,Bank Transfer,Completed
ORD_0000008,CST_001358,477000.0,2024-03-11 15:38:13,2024-03-11,CMP_0003,CRE_0003,Facebook,Finance,COD,Completed
ORD_0000009,CST_001806,76000.0,2024-05-31 20:57:59,2024-05-31,CMP_0028,CRE_0014,Lazada Live,Food & Beverage,ZaloPay,Completed
ORD_0000010,CST_000505,1519000.0,2024-09-07 01:47:04,2024-09-07,CMP_0013,CRE_0010,Lazada Live,Beauty & Skincare,Credit Card,Completed
ORD_0000011,CST_000320,190000.0,2024-06-15 06:16:32,2024-06-15,CMP_0028,CRE_0002,Lazada Live,Food & Beverage,Credit Card,Completed
ORD_0000012,CST_000197,50000.0,2024-09-22 13:03:44,2024-09-22,CMP_0007,CRE_0016,YouTube,Home & Living,VNPay,Completed
ORD_0000013,CST_001752,168000.0,2024-10-07 12:03:05,2024-10-07,CMP_0007,CRE_0003,YouTube,Home & Living,ZaloPay,Completed
ORD_0000014,CST_001777,160000.0,2024-09-24 22:06:37,2024-09-24,CMP_0007,CRE_0001,YouTube,Home & Living,Credit Card,Cancelled
ORD_0000015,CST_000650,248000.0,2024-03-19 02:18:05,2024-03-19,CMP_0018,CRE_0005,Instagram,Health & Fitness,ZaloPay,Completed
ORD_0000016,CST_000604,310000.0,2024-05-07 13:30:54,2024-05-07,CMP_0025,CRE_0014,Instagram,Technology,Credit Card,Cancelled
ORD_0000017,CST_001603,464000.0,2024-02-28 17:50:05,2024-02-28,CMP_0003,CRE_0019,Facebook,Finance,MoMo,Completed
ORD_0000018,CST_001455,203000.0,2024-04-17 04:07:22,2024-04-17,CMP_0008,CRE_0008,TikTok,Fashion,COD,Completed
ORD_0000019,CST_000691,467000.0,2024-09-30 01:26:38,2024-09-30,CMP_0007,CRE_0006,YouTube,Home & Living,MoMo,Completed
ORD_0000020,CST_001657,190000.0,2024-05-16 23:19:57,2024-05-16,CMP_0025,CRE_0003,Instagram,Technology,Bank Transfer,Returned
ORD_0000021,CST_001864,133000.0,2024-06-11 19:45:39,2024-06-11,CMP_0019,CRE_0012,Facebook,Finance,ZaloPay,Returned
ORD_0000022,CST_001288,173000.0,2024-03-04 16:36:38,2024-03-04,CMP_0020,CRE_0011,Lazada Live,Technology,ZaloPay,Returned
ORD_0000023,CST_001816,187000.0,2024-08-03 12:13:23,2024-08-03,CMP_0012,CRE_0005,Instagram,Finance,Credit Card,Returned
ORD_0000024,CST_000741,151000.0,2024-05-20 14:09:24,2024-05-20,CMP_0021,CRE_0013,Facebook,Beauty & Skincare,MoMo,Completed
ORD_0000025,CST_001760,407000.0,2024-02-25 00:30:01,2024-02-25,CMP_0009,CRE_0009,Lazada Live,Food & Beverage,COD,Completed
ORD_0000026,CST_001613,694000.0,2024-06-07 16:41:26,2024-06-07,CMP_0001,CRE_0017,Instagram,Beauty & Skincare,ZaloPay,Completed
ORD_0000027,CST_000121,216000.0,2024-10-24 00:40:52,2024-10-24,CMP_0029,CRE_0009,TikTok,Home & Living,COD,Returned
ORD_0000028,CST_001475,247000.0,2024-10-25 04:00:30,2024-10-25,CMP_0005,CRE_0004,TikTok,Technology,COD,Completed
ORD_0000029,CST_000371,106000.0,2024-06-16 21:10:08,2024-06-16,CMP_0028,CRE_0006,Lazada Live,Food & Beverage,VNPay,Completed
ORD_0000030,CST_000395,211000.0,2024-08-04 17:17:30,2024-08-04,CMP_0010,CRE_0012,YouTube,Beauty & Skincare,VNPay,Cancelled
ORD_0000031,CST_001644,356000.0,2024-03-04 01:00:17,2024-03-04,CMP_0020,CRE_0004,Lazada Live,Technology,Credit Card,Completed
ORD_0000032,CST_001692,81000.0,2024-10-27 22:07:59,2024-10-27,CMP_0029,CRE_0011,TikTok,Home & Living,Credit Card,Completed
ORD_0000033,CST_001892,548000.0,2024-05-15 04:10:49,2024-05-15,CMP_0025,CRE_0001,Instagram,Technology,ZaloPay,Completed
ORD_0000034,CST_000084,187000.0,2024-11-06 22:59:42,2024-11-06,CMP_0004,CRE_0020,Facebook,Gaming,ZaloPay,Cancelled
ORD_0000035,CST_001932,50000.0,2024-04-07 04:59:34,2024-04-07,CMP_0008,CRE_0011,TikTok,Fashion,Credit Card,Completed
ORD_0000036,CST_001344,492000.0,2024-03-23 10:55:48,2024-03-23,CMP_0003,CRE_0009,Facebook,Finance,MoMo,Returned
ORD_0000037,CST_001250,312000.0,2024-03-04 14:18:46,2024-03-04,CMP_0018,CRE_0008,Instagram,Health & Fitness,COD,Returned
ORD_0000038,CST_000052,426000.0,2024-04-19 11:31:58,2024-04-19,CMP_0008,CRE_0008,TikTok,Fashion,ZaloPay,Cancelled
ORD_0000039,CST_001486,74000.0,2024-05-28 21:09:06,2024-05-28,CMP_0019,CRE_0015,Facebook,Finance,MoMo,Completed
ORD_0000040,CST_001874,2543000.0,2024-07-21 12:38:36,2024-07-21,CMP_0027,CRE_0016,Instagram,Fashion,MoMo,Cancelled
ORD_0000041,CST_001180,334000.0,2024-06-03 22:49:01,2024-06-03,CMP_0019,CRE_0001,Facebook,Finance,ZaloPay,Cancelled
ORD_0000042,CST_000879,356000.0,2024-06-18 20:03:44,2024-06-18,CMP_0014,CRE_0001,TikTok,Fashion,ZaloPay,Completed
ORD_0000043,CST_001549,274000.0,2024-07-08 12:21:26,2024-07-08,CMP_0024,CRE_0009,TikTok,Food & Beverage,MoMo,Returned
ORD_0000044,CST_001898,106000.0,2024-10-25 02:25:20,2024-10-25,CMP_0029,CRE_0008,TikTok,Home & Living,ZaloPay,Cancelled
ORD_0000045,CST_001301,92000.0,2024-03-03 18:57:35,2024-03-03,CMP_0003,CRE_0001,Facebook,Finance,VNPay,Completed
ORD_0000046,CST_001739,516000.0,2024-10-05 23:25:39,2024-10-05,CMP_0007,CRE_0013,YouTube,Home & Living,MoMo,Completed
ORD_0000047,CST_001384,939000.0,2024-08-18 15:55:58,2024-08-18,CMP_0010,CRE_0006,YouTube,Beauty & Skincare,Credit Card,Completed
ORD_0000048,CST_000561,328000.0,2024-11-01 05:13:19,2024-11-01,CMP_0029,CRE_0003,TikTok,Home & Living,ZaloPay,Completed
ORD_0000049,CST_000693,388000.0,2024-08-07 23:21:21,2024-08-07,CMP_0010,CRE_0011,YouTube,Beauty & Skincare,ZaloPay,Completed
ORD_0000050,CST_000776,1114000.0,2024-06-09 00:24:11,2024-06-09,CMP_0028,CRE_0001,Lazada Live,Food & Beverage,Credit Card,Completed
ORD_0000051,CST_000693,611000.0,2024-01-09 14:03:15,2024-01-09,CMP_0006,CRE_0020,Lazada Live,Fashion,MoMo,Completed
ORD_0000052,CST_001076,422000.0,2024-01-07 02:20:40,2024-01-07,CMP_0006,CRE_0013,Lazada Live,Fashion,Credit Card,Completed
ORD_0000053,CST_001414,50000.0,2024-02-02 04:38:27,2024-02-02,CMP_0009,CRE_0020,Lazada Live,Food & Beverage,VNPay,Completed
ORD_0000054,CST_001900,80000.0,2024-02-14 03:31:18,2024-02-14,CMP_0015,CRE_0006,Instagram,Home & Living,COD,Completed
ORD_0000055,CST_000973,200000.0,2024-01-09 18:11:57,2024-01-09,CMP_0022,CRE_0001,Instagram,Fashion,ZaloPay,Completed
ORD_0000056,CST_001025,1224000.0,2024-10-13 01:13:07,2024-10-13,CMP_0005,CRE_0002,TikTok,Technology,MoMo,Cancelled
ORD_0000057,CST_000491,353000.0,2024-05-12 00:11:09,2024-05-12,CMP_0025,CRE_0008,Instagram,Technology,Credit Card,Completed
ORD_0000058,CST_000882,830000.0,2024-03-03 15:38:31,2024-03-03,CMP_0020,CRE_0004,Lazada Live,Technology,ZaloPay,Completed
ORD_0000059,CST_000132,826000.0,2024-01-09 12:45:45,2024-01-09,CMP_0006,CRE_0017,Lazada Live,Fashion,Bank Transfer,Completed
ORD_0000060,CST_000001,560000.0,2024-08-02 09:00:46,2024-08-02,CMP_0012,CRE_0010,Instagram,Finance,MoMo,Completed
ORD_0000061,CST_001602,452000.0,2024-10-05 02:24:41,2024-10-05,CMP_0005,CRE_0018,TikTok,Technology,COD,Completed
ORD_0000062,CST_000027,185000.0,2024-10-27 09:28:46,2024-10-27,CMP_0011,CRE_0004,TikTok,Technology,VNPay,Completed
