creator_id,creator_name,platform,category,tier,follower_count,engagement_rate,total_days,total_campaigns,total_spend,total_impressions,total_clicks,total_revenue,total_orders,avg_roi,cpc_vnd,roas,avg_order_value
CRE_0001,Trinh Pham,TikTok,Fashion,Mid-tier,278248,0.0844,92,3,698110232.0,10567770,314254,135591000.0,256,-0.8058,2221.0,0.1942,529652.0
CRE_0002,Linh Nguyen,Shopee Live,Fashion,Mega,6971986,0.0762,75,3,554525141.0,7263671,192906,122387000.0,241,-0.7793,2875.0,0.2207,507830.0
CRE_0003,Bao Tran,Shopee Live,Technology,Mega,4576300,0.0561,29,2,205833882.0,3752755,89117,124325000.0,246,-0.396,2310.0,0.604,505386.0
CRE_0004,Mai Le,YouTube,Beauty & Skincare,Mega,1344319,0.0868,130,5,1209629688.0,19646805,559527,144263000.0,246,-0.8807,2162.0,0.1193,586435.0
CRE_0005,Duc Hoang,Instagram,Technology,Mega,2828559,0.0212,183,7,2598016136.0,39220166,1085483,111332000.0,241,-0.9571,2393.0,0.0429,461959.0
CRE_0006,Trang Vu,YouTube,Health & Fitness,Mega,2223961,0.0988,121,5,1237661692.0,18902203,469004,102375000.0,226,-0.9173,2639.0,0.0827,452987.0
CRE_0007,Khanh Do,YouTube,Fashion,Mega,6297448,0.0735,42,1,331336323.0,5221850,153078,111249000.0,238,-0.6642,2164.0,0.3358,467433.0
CRE_0008,Huong Bui,Lazada Live,Fashion,Mid-tier,389402,0.0827,168,4,1477544811.0,23477964,639754,126107000.0,273,-0.9147,2310.0,0.0853,461930.0
CRE_0009,Nam Phan,TikTok,Technology,Macro,852261,0.0518,159,4,1454713567.0,24152783,730851,116692000.0,238,-0.9198,1990.0,0.0802,490303.0
CRE_0010,Thu Dang,YouTube,Food & Beverage,Mega,3110303,0.0491,52,2,610542446.0,9028705,233610,131012000.0,268,-0.7854,2614.0,0.2146,488851.0
CRE_0011,Minh Ly,YouTube,Fashion,Mega,2516991,0.1188,97,6,856907644.0,13076618,344563,132745000.0,251,-0.8451,2487.0,0.1549,528865.0
CRE_0012,Lan Cao,Lazada Live,Technology,Mega,2725280,0.1027,167,6,1671283617.0,25540483,715805,118960000.0,263,-0.9288,2335.0,0.0712,452319.0
CRE_0013,Tuan Dinh,Shopee Live,Beauty & Skincare,Mega,6305615,0.1064,117,5,1092268552.0,16468368,465034,106422000.0,245,-0.9026,2349.0,0.0974,434376.0
CRE_0014,Hoa Ngo,YouTube,Technology,Mega,4192855,0.0535,96,4,790147502.0,13404366,370741,125568000.0,248,-0.8411,2131.0,0.1589,506323.0
CRE_0015,Viet Truong,Facebook,Food & Beverage,Mega,2226975,0.0254,44,1,307920392.0,4474893,141827,122491000.0,242,-0.6022,2171.0,0.3978,506161.0
CRE_0016,Phuong Nguyen,Shopee Live,Finance,Mega,4908862,0.0571,53,2,507059882.0,7475965,199569,137062000.0,261,-0.7297,2541.0,0.2703,525142.0
CRE_0017,Long Ha,TikTok,Technology,Mega,1358824,0.0268,50,1,390460943.0,6414048,186148,134008000.0,249,-0.6568,2098.0,0.3432,538185.0
CRE_0018,Thao Nguyen,Instagram,Home & Living,Macro,537909,0.0523,120,4,1001194430.0,16041327,501446,128665000.0,258,-0.8715,1997.0,0.1285,498702.0
CRE_0019,Hung Le,Lazada Live,Finance,Mega,9798030,0.1073,91,4,805765047.0,12408265,338453,144644000.0,256,-0.8205,2381.0,0.1795,565016.0
CRE_0020,Quynh Tran,Lazada Live,Health & Fitness,Mega,1039118,0.1063,75,3,623903434.0,10072759,300922,127489000.0,254,-0.7957,2073.0,0.2043,501925.0
